epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,662.857,0.4361,0.45879,0.86608,0.75032,0.77282,0.79596,0.71289,0.5314,0.89349,0.8147,0.000615781,0.000615781,0.000615781
43,678.045,0.42791,0.49305,0.87127,0.71731,0.79365,0.80676,0.71469,0.54195,0.86133,0.81085,0.000600313,0.000600313,0.000600313
44,696.611,0.42676,0.43793,0.85913,0.59235,0.90476,0.80472,0.72933,0.55393,0.9762,0.81585,0.000584844,0.000584844,0.000584844
45,710.048,0.41548,0.47794,0.86184,0.67578,0.82407,0.79392,0.73311,0.54054,0.84131,0.81919,0.000569375,0.000569375,0.000569375
46,723.811,0.40105,0.39555,0.86307,0.64351,0.88732,0.7809,0.70748,0.53587,0.82895,0.81672,0.000553906,0.000553906,0.000553906
47,738.425,0.41504,0.4311,0.83967,0.65236,0.84226,0.74318,0.65457,0.55907,0.9018,0.81672,0.000538438,0.000538438,0.000538438
48,751.75,0.39859,0.43548,0.85806,0.597,0.84284,0.7714,0.70463,0.53511,0.91218,0.81455,0.000522969,0.000522969,0.000522969
49,765.178,0.47293,0.47971,0.87744,0.62244,0.85116,0.78501,0.69644,0.54924,0.90669,0.82158,0.0005075,0.0005075,0.0005075
50,779.408,0.37079,0.65108,0.84716,0.76162,0.77452,0.77922,0.67528,0.57191,0.89018,0.82971,0.000492031,0.000492031,0.000492031
51,794.793,0.38286,0.35937,0.8448,0.79394,0.82143,0.8209,0.71646,0.5767,0.82866,0.83308,0.000476562,0.000476562,0.000476562
52,807.638,0.43565,0.41609,0.85539,0.69541,0.87535,0.83898,0.74161,0.54279,0.82141,0.82938,0.000461094,0.000461094,0.000461094
53,821.191,0.42037,0.45493,0.8654,0.68965,0.88288,0.806,0.71957,0.54568,0.80334,0.82322,0.000445625,0.000445625,0.000445625
54,834.24,0.39834,0.43968,0.85383,0.72593,0.8262,0.81906,0.73715,0.55699,0.81519,0.82424,0.000430156,0.000430156,0.000430156
55,847.473,0.46088,0.77569,0.88419,0.71449,0.83129,0.83153,0.75247,0.56075,0.86462,0.82575,0.000414688,0.000414688,0.000414688
56,865.136,0.36588,0.7328,0.79187,0.71143,0.82345,0.82969,0.74126,0.54518,0.88638,0.81828,0.000399219,0.000399219,0.000399219
57,878.481,0.38629,0.3793,0.85318,0.74519,0.78899,0.80651,0.72623,0.52816,0.88929,0.81386,0.00038375,0.00038375,0.00038375
58,893.379,0.36356,0.3673,0.8369,0.72558,0.7766,0.80889,0.73751,0.52682,0.8997,0.81295,0.000368281,0.000368281,0.000368281
59,908.69,0.37022,0.35268,0.82564,0.67049,0.84259,0.80665,0.72268,0.53138,0.91009,0.81775,0.000352812,0.000352812,0.000352812
60,923.018,0.42081,0.37413,0.86754,0.68513,0.78876,0.78834,0.70416,0.52925,0.96141,0.81989,0.000337344,0.000337344,0.000337344
61,934.816,0.35748,0.39022,0.85087,0.71856,0.79365,0.7762,0.68186,0.5402,0.95666,0.81723,0.000321875,0.000321875,0.000321875
62,949.624,0.33855,0.33053,0.83915,0.67212,0.87698,0.80388,0.70637,0.53726,0.84307,0.81708,0.000306406,0.000306406,0.000306406
